ultralytics/yolov5,ultralytics/yolov5.1,"['yolov3', 'yolov4', 'yolov5', 'object-detection', 'pytorch', 'onnx', 'coreml', 'ios', 'tflite', 'yolo', 'deep-learning', 'machine-learning', 'ml']",YOLOv5 🚀 in PyTorch > ONNX > CoreML > TFLite
nvidia-merlin/merlin,NVIDIA-Merlin/Merlin,"['deep-learning', 'end-to-end', 'gpu-acceleration', 'machine-learning', 'recommendation-system', 'recommender-system']","NVIDIA Merlin is an open source library providing end-to-end GPU-accelerated recommender systems, from feature engineering and preprocessing to training deep learning models and running inference in production."
yinyunie/total3dunderstanding,yinyunie/Total3DUnderstanding,"['scene-understanding', 'scene-reconstruction', 'cvpr2020', 'pytorch']","Implementation of CVPR'20 Oral: Total3DUnderstanding: Joint Layout, Object Pose and Mesh Reconstruction for Indoor Scenes from a Single Image"
hkchengrex/mivos,hkchengrex/MiVOS,"['computer-vision', 'segmentation', 'deep-learning', 'pytorch', 'cvpr2021', 'interactive-segmentation', 'video-object-segmentation', 'video-segmentation']","[CVPR 2021] Modular Interactive Video Object Segmentation: Interaction-to-Mask, Propagation and Difference-Aware Fusion. Semi-supervised VOS as well!"
postech-cvlab/scnerf,POSTECH-CVLab/SCNeRF,"['nerf', 'implicit-representions', 'calibration', 'computer-vision', 'deep-learning', 'self-calibration', 'pytorch']",[ICCV21] Self-Calibrating Neural Radiance Fields
nightsnack/yolobile,nightsnack/YOLObile,"['deep-learning', 'object-detection', 'yolov4']",This is the implementation of YOLObile: Real-Time Object Detection on Mobile Devices via Compression-Compilation Co-Design
layumi/aicity-reid-2020,layumi/AICIty-reID-2020,"['vehicle', 'pytorch', 'paddlepaddle', 'vehicle-reid', 'veri-776', 'aicity', 'cityflow', 'cvpr2020']",:red_car:  The 1st Place Submission to AICity Challenge 2020 re-id track (Baidu-UTS submission)
breezedeus/cnstd,breezedeus/CnSTD,"['object-detection', 'pytorch', 'text-detection', 'deep-learning', 'math-formula-detection']",CnSTD: 基于 PyTorch/MXNet 的 中文/英文 场景文字检测（Scene Text Detection）Python3 包
tensorflow/model-card-toolkit,tensorflow/model-card-toolkit,"['deep-learning', 'machine-learning', 'model-cards', 'responsible-ai', 'responsible-ml', 'tensorflow', 'transparency']",A toolkit that streamlines and automates the generation of model cards 
maclory/spsr,Maclory/SPSR,"['structure-preserving', 'super-resolution', 'image-restoration', 'computer-vision', 'deep-learning']",Pytorch implementation of Structure-Preserving Super Resolution with Gradient Guidance (CVPR 2020 & TPAMI 2021) 
assafshocher/resizeright,assafshocher/ResizeRight,[],The correct way to resize images or tensors. For Numpy or Pytorch (differentiable).
peizhuoli/neural-blend-shapes,PeizhuoLi/neural-blend-shapes,"['computer-graphics', 'computer-animation', 'deep-learning', 'character-animation', 'rigging-framework']","An end-to-end library for automatic character rigging, skinning, and blend shapes generation, as well as a visualization tool [SIGGRAPH 2021]"
paulgavrikov/visualkeras,paulgavrikov/visualkeras,[],"Visualkeras is a Python package to help visualize Keras (either standalone or included in TensorFlow) neural network architectures. It allows easy styling to fit most needs. This module supports layered style architecture generation which is great for CNNs (Convolutional Neural Networks), and a graph style architecture, which works great for most models including plain feed-forward networks."
yxuansu/simctg,yxuansu/SimCTG,"['textgeneration', 'contrastive-learning', 'nlp', 'languagemodel', 'decode', 'language-modeling', 'deeplearning']",[NeurIPS'22 Spotlight] A Contrastive Framework for Neural Text Generation
snap-stanford/deepsnap,snap-stanford/deepsnap,"['pytorch', 'deep-learning', 'graph-neural-networks']",Python library assists deep learning on graphs
sniklaus/softmax-splatting,sniklaus/softmax-splatting,"['pytorch', 'python', 'cuda', 'deep-learning', 'cupy']",an implementation of softmax splatting for differentiable forward warping using PyTorch
salesforce/warp-drive,salesforce/warp-drive,"['reinforcement-learning', 'gpu', 'cuda', 'multiagent-reinforcement-learning', 'deep-learning', 'high-throughput', 'pytorch', 'numba']",Extremely Fast End-to-End Deep Multi-Agent Reinforcement Learning Framework on a GPU (JMLR 2022)
xinjli/allosaurus,xinjli/allosaurus,"['speech', 'speech-recognition', 'pytorch', 'phonetics']",Allosaurus is a pretrained universal phone recognizer for more than 2000 languages
hhousen/transformersum,HHousen/TransformerSum,"['automatic-summarization', 'machine-learning', 'extractive-summarization', 'bert', 'roberta', 'distilbert', 'albert', 'summarization', 'transformer-models', 'pytorch-lightning', 'summarization-dataset', 'text-summarization']",Models to perform neural summarization (extractive and abstractive) using machine learning transformers and a tool to convert abstractive summarization datasets to the extractive task.
jtl1207/comic-translation,jtl1207/comic-translation,"['ocr', 'deep-learning', 'manga', 'paddleocr', 'chinese-translation', 'text-detection']",基于深度学习的漫画翻译辅助工具，包含翻译、朗读、图像去字、自动嵌字功能。  目的是帮助非专业汉化人员完成更简单，快速的翻译任务。
yl305237731/flexible-yolov5,Bobo-y/flexible-yolov5,"['yolov5', 'resnet', 'moblienet', 'backbone', 'neck', 'se', 'cbam', 'efficientnet', 'pytorch', 'shufflenet', 'hrnet', 'dcnv2', 'tensorrt', 'object-detection', 'swin-transformer', 'gcn', 'yolov3']","More readable and flexible yolov5 with more backbone(gcn, resnet, shufflenet, moblienet, efficientnet, hrnet, swin-transformer, etc) and (cbam，dcn and so on), and tensorrt"
ai-forever/ghost,ai-forever/ghost,"['computer-vision', 'deep-learning', 'deepfake', 'faceswap', 'pytorch', 'deep-face-swap', 'face-swap', 'ghost', 'ghost-faceswap', 'ghost-swap']",A new one shot face swap approach for image and video domains
miemie2013/keras-yolov4,miemie2013/Keras-YOLOv4,"['yolov4', 'yolo', 'keras', 'diou', 'ciou', 'ppyolo']",yolov4 42.0% mAP.ppyolo 45.1% mAP.
microsoft/cvt,microsoft/CvT,"['cvt', 'deep-learning', 'classification', 'imagenet', 'computer-vision']",This is an official implementation of CvT: Introducing Convolutions to Vision Transformers.
phamquiluan/residualmaskingnetwork,phamquiluan/ResidualMaskingNetwork,"['fer2013', 'facial-expression-recognition', 'residual-masking-network', 'pytorch', 'image-classification']",ICPR 2020: Facial Expression Recognition using Residual Masking Network
jankrepl/mltype,jankrepl/mltype,"['typing-practice', 'typing', 'typingspeedtest', 'typing-trainer', 'machine-learning', 'deep-learning', 'touch-typing']",Command line tool for improving typing skills (programmers friendly)
archinetai/surgeon-pytorch,archinetai/surgeon-pytorch,"['artificial-intelligence', 'deep-learning', 'pytorch']",A library to inspect and extract intermediate layers of PyTorch models.
da-southampton/read_bert_code,DA-southampton/Read_Bert_Code,[],Bert源码阅读与讲解(Pytorch版本)-以BERT文本分类代码为例子
mit-han-lab/torchquantum,mit-han-lab/torchquantum,"['pytorch-quantum', 'quantum', 'quantum-machine-learning', 'neural-network', 'machine-learning', 'quantum-computing', 'pytorch', 'deep-learning', 'system', 'ml-for-systems', 'quantum-simulation', 'quantum-neural-network', 'parameterized-quantum-circuit']","A PyTorch-based framework for Quantum Simulation, Quantum Machine Learning, Quantum Neural Networks, Parameterized Quantum Circuits with support for easy deployments on real quantum computers."
allenai/dont-stop-pretraining,allenai/dont-stop-pretraining,"['natural-language-processing', 'pretrained-language-model']",Code associated with the Don't Stop Pretraining ACL 2020 paper
continvvm/continuum,Continvvm/continuum,"['continual-learning', 'lifelong-learning', 'incremental-learning', 'online-learning', 'pytorch', 'dataloader', 'dataset']",A clean and simple data loading library for Continual Learning
majumderb/rezero,majumderb/rezero,"['pytroch', 'transformer', 'resnet', 'language-modeling', 'deep-neural-networks']","Official PyTorch Repo for ""ReZero is All You Need: Fast Convergence at Large Depth"""
gretelai/gretel-synthetics,gretelai/gretel-synthetics,"['differential-privacy', 'artificial-intelligence', 'tensorflow', 'privacy', 'synthetic-data']","Synthetic data generators for structured and unstructured text, featuring differentially private learning."
yandex-research/ddpm-segmentation,yandex-research/ddpm-segmentation,"['deep-learning', 'semantic-segmentation']",Label-Efficient Semantic Segmentation with Diffusion Models (ICLR'2022)
rasahq/whatlies,koaning/whatlies,"['nlp', 'embeddings', 'visualisations']","Toolkit to help understand ""what lies"" in word embeddings. Also benchmarking! "
iampara0x/yuno,IAmPara0x/Yuno,"['search-engine', 'anime', 'deep-learning', 'python', 'transformers']",Yuno is context based search engine for anime.
microsoft/styleswin,microsoft/StyleSwin,"['computer-vision', 'deep-learning', 'deep-neural-networks', 'pytorch', 'generative-adversarial-network', 'gans', 'image-generation', 'image-synthesis', 'styleswin', 'transformer']",[CVPR 2022] StyleSwin: Transformer-based GAN for High-resolution Image Generation
kakaoenterprise/jorldy,kakaoenterprise/JORLDY,"['framework', 'reinforcement-learning', 'gym', 'mlagents', 'pytorch']",Repository for Open Source Reinforcement Learning Framework JORLDY
tatp22/linformer-pytorch,tatp22/linformer-pytorch,"['artificial-intelligence', 'deep-learning', 'attention-mechanism', 'pytorch', 'machine-learning', 'linformer', 'paper']",My take on a practical implementation of Linformer for Pytorch.
julesbelveze/time-series-autoencoder,JulesBelveze/time-series-autoencoder,"['autoencoder', 'lstm-autoencoder', 'attention-mechanisms', 'time-series', 'multivariate-timeseries', 'pytorch', 'forecasting']",:chart_with_upwards_trend: PyTorch dual-attention LSTM-autoencoder for multivariate Time Series :chart_with_upwards_trend:
fangjinhuawang/patchmatchnet,FangjinhuaWang/PatchmatchNet,"['multi-view-stereo', 'deep-learning', '3d-reconstruction']",Official code of PatchmatchNet (CVPR 2021 Oral)
nupurkmr9/vision-aided-gan,nupurkmr9/vision-aided-gan,"['computer-vision', 'computer-graphics', 'pytorch', 'generative-adversarial-network', 'gans', 'pretrained-models', 'image-generation']",Ensembling Off-the-shelf Models for GAN Training (CVPR 2022 Oral)
yuxumin/pointr,yuxumin/PoinTr,"['deep-learning', 'computer-vision', 'pointcloud-completion', 'vision-transformers', '3dvision', 'iccv2021']",[ICCV 2021 Oral] PoinTr: Diverse Point Cloud Completion with Geometry-Aware Transformers
leondgarse/keras_cv_attention_models,leondgarse/keras_cv_attention_models,"['tensorflow', 'visualizing', 'keras', 'attention', 'model', 'imagenet', 'coco', 'recognition', 'detection', 'anchor-free', 'tf', 'tf2']","Keras beit,botnet,CMT,CoaT,CoAtNet,convnext,cotnet,davit,efficientdet,edgenext,efficientformer,efficientnet,fbnet,flexivit,gcvit,ghostnet,gmlp,gpvit,halonet,hornet,iformer,lcnet,levit,maxvit,mlp-mixer,mobilevit,nat,nfnets,pvt,regnet,resmlp,resnest,resnext,resnetd,swin,tinynet,uniformer,volo,wavemlp,yolor,yolov7,yolox"
csteinmetz1/auraloss,csteinmetz1/auraloss,"['loss-functions', 'pytorch', 'audio']",Collection of audio-focused loss functions in PyTorch
ternaus/retinaface,ternaus/retinaface,"['pytorch', 'deeplearning', 'face-detection', 'retinaface', 'object-detection']",The remake of the https://github.com/biubug6/Pytorch_Retinaface
derrickxunu/opencood,DerrickXuNu/OpenCOOD,"['autonomous-driving', 'multi-agent-perception', 'multi-agent-systems', 'simulations', 'collaborative-perception', 'computer-vision', 'deep-learning', 'pytorch']",[ICRA 2022&2023] An opensource framework for cooperative detection. Official implementation for OPV2V.
yeyupiaoling/ppasr,yeyupiaoling/PPASR,"['asr', 'paddlepaddle', 'deep-learning', 'chinese', 'speech-to-text', 'speech', 'speech-recognition', 'streaming-asr', 'conformer', 'squeezeformer', 'deepspeech2']",基于PaddlePaddle实现端到端中文语音识别，从入门到实战，超简单的入门案例，超实用的企业项目。支持当前最流行的DeepSpeech2、Conformer、Squeezeformer模型
filyp/autocorrect,filyp/autocorrect,"['autocorrection', 'spelling', 'spellchecker', 'levenshtein-distance', 'python', 'english', 'polish', 'turkish', 'ukrainian', 'russian', 'multilingual', 'multilanguage', 'spanish', 'nlp', 'spelling-corrector', 'autocorrect', 'languages', 'czech', 'portuguese', 'ocr']",Spelling corrector in python
vballoli/nfnets-pytorch,vballoli/nfnets-pytorch,"['pytorch', 'image-classification', 'deepmind', 'adaptive-gradient-clipping', 'nfnets', 'sota', 'paper', 'sgd']",NFNets and Adaptive Gradient Clipping for SGD implemented in PyTorch. Find explanation at tourdeml.github.io/blog/
cavalleria/cavaface.pytorch,cavalleria/cavaface,"['face-recognition', 'pytorch', 'network', 'loss', 'arcnegface', 'arcface', 'resnest', 'attention-irse', 'apex', 'randaugment', 'mixup', 'dataparallel', 'model-parallel', 'resnet-irse', 'curricularface', 'cosface', 'amsoftmax', 'circleloss', 'ghostnet', 'efficientnet']",face recognition training project(pytorch)
noahcao/oc_sort,noahcao/OC_SORT,"['tracking', 'computer-vision', 'deep-learning', 'object-detection', 'object-tracking']","The official repo for OC-SORT: Observation-Centric SORT on video Multi-Object Tracking. OC-SORT is simple, online and robust to occlusion/non-linear motion."
thunlp/opendelta,thunlp/OpenDelta,"['nlp', 'nlp-library', 'pretrained-language-model', 'parameter-efficient-learning', 'deep-learning']",A plug-and-play library for parameter-efficient-tuning (Delta Tuning)
shoumikchow/bbox-visualizer,shoumikchow/bbox-visualizer,"['computer-vision', 'computer-vision-tools', 'cv', 'labeling', 'data-labeling', 'object-detection', 'object-recognition', 'bboxes', 'python3', 'deep-learning', 'image-annotation', 'annotations', 'annotation', 'image-labeling', 'image-labeling-tool', 'bounding-boxes', 'bounding-box', 'boundingbox', 'hacktoberfest']",Make drawing and labeling bounding boxes easy as cake 
onion-liu/blendgan,onion-liu/BlendGAN,"['generative-adversarial-network', 'gan', 'image-generation', 'style-transfer']","Official PyTorch implementation of ""BlendGAN: Implicitly GAN Blending for Arbitrary Stylized Face Generation"" (NeurIPS 2021)"
mvig-sjtu/alphaction,MVIG-SJTU/AlphAction,"['action-detection', 'spatio-temporal-action-localization', 'alphaction', 'alpha-action', 'action-recognition', 'state-of-the-art', 'pytorch', 'torch', 'gpu', 'ava', 'demo-video', 'ava-dataset', 'model-zoo']",Spatio-Temporal Action Localization System
wuba/qa_match,wuba/qa_match,"['nlp', 'machine-learning', 'deep-learning', 'ai', '58', 'tensorflow', 'lstm', 'dssm', 'qabot', 'qatools']",A simple effective ToolKit for short text matching
dvlab-research/blocknerfpytorch,sjtuytc/LargeScaleNeRFPytorch,"['nerf', 'nerf-w', 'pytorch-implementation', 'block-nerf', 'city-nerf', 'custum-nerf', 'mega-nerf', 'view-synthesis', 'weekly-nerf', 'weekly', 'classified', 'pytorch-implementations', 'pytorch', 'pytorch-lightning', 'chinese-translation', 'deep-learning']",1. Non-official implementation of Block-NeRF and Mega-NeRF in Pytorch. 2. Train your large-scale NeRF in the wild. 3. Weekly classified NeRF literature.
clovaai/assembled-cnn,clovaai/assembled-cnn,"['convolutional-neural-networks', 'tensorflow', 'image-classification', 'deep-learning', 'transfer-learning', 'computer-vision', 'mce', 'imagenet', 'inference-throughput', 'robustness', 'food-101']","Tensorflow implementation of ""Compounding the Performance Improvements of Assembled Techniques in a Convolutional Neural Network"""
